HolderAddress,Balance
0x39EF75a6622473e3e786987A30048b19243ABB05,3356654.756239550119805087
0x17C9219e1b2992C8f783e3c50B64673b94F07B65,3319290.593563193768935424
0xb40Cb01f9E4eb1ed3Ae99b89356A8DCAF33B95Ce,3145341.204586610775368251
0xD227Eb4EB56bdb4AB3Af275d87AB8031bd2908A0,3083488.869733839893373383
0x2464E382A196c22De0a84b38BD667ecf4A3e960e,3054723.488486708094981771
0xFcC88B87bff7aE3C03bFD45BE9949fbeDa145167,3017084.581661196882266819
0xab40fe027d7C92123EDB5fe045C7b6F2dc5BF997,2966533.215191736749171006
0x3BCF0B9fd43922326B59542D5D5ECa71C8137BDC,2934751.376140897415172591
0xcC65E20A6D7cD81cE91E99dF663380Bc49809Dfa,2889729.004366297983865235
0xBE6d877b4D5D81d75019faB38cAeF58d83443A95,2875254.903559855141052957
0xC8982fbDbc13b4D2354e9412CccA87232aAFd684,2789014.287967641138031722
0xb7273ff84354eB3C512C89532dEB3c1725Fe4d75,2770302.177245616505107629
0xA3ff7cD0a79F04414D9eBDF8FD33CBBfd9A0CA66,2587683.779473466720964489
0x320C011b5EE7689308420ACc3735a69754a76504,2561043.145703659794970352
0x29A98c45EC2699A7747cf64dE4621D4ac15B1F9A,2554848.953068123229544444
0x4dBD634F46740E660Ec4E7444C94ba43b4B026FD,2472087.239577797564189658
0xe1965a0e19CF898E7bF2BDF27AaAf9d1975d12bB,2452789.918574659291717909
0x2e598bFf6F6be61250339eaD65d5dc65fb937b09,2426508.744683918533656739
0x3536f8D703B7d104a01EB3af7E16Cee316D3e33A,2388475.700515345252035494
0x1d9Abcb01E422fF3476673D608e1cA93c2426FBa,2357383.224018280108785806
0x8974Ef6FfF924111527807345Fe79BE78ebE98E5,2354001.555685311176646638
0xD17a5864357062A38dEeB7f031E74e6Ce6BF1B7F,2252348.882490169200299659
0x1283Fdfb3C3Acc1466dB87Bcf38c77077Ca08233,2205290.512115630656720436
0xdCD045228BFf35Cb551ED20777520e8A69837Ef8,2077053.528507718737326224
